rows loaded: 15341
cells: dark@390, dark@1440, light@390, light@1440
routes: 33

distinct triples: 828   below floor: 62

| theme | ink | size | measured backdrop | worst | floor | n | routes | example selector |
| light | `#433c31` | 13.8px/500 | opaque #d6cfc2 | 7.03 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 16.8px/300 | #bg-canvas | 7.03 | 4.5 | 1 | 1 | `p` |
| light | `#433c31` | 12.5px/500 | opaque #deceb3 | 7.04 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 12.5px/400 | #bg-canvas | 7.05 | 4.5 | 39 | 4 | `button.f-btn` |
| light | `#433c31` | 13.8px/500 | opaque #d7cfc3 | 7.05 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 12.5px/500 | opaque #dfceb2 | 7.05 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 12.2px/300 | cover | 7.06 | 4.5 | 4 | 1 | `a` |
| dark | `#d8d2c4` | 13.8px/500 | opaque #3e3e3e | 7.10 | 4.5 | 1 | 1 | `a` |
| light | `#544019` | 13.8px/700 | opaque #e0dacd | 7.10 | 4.5 | 1 | 1 | `a.active` |
| dark | `#d8d2c4` | 13.8px/500 | opaque #3d3e3f | 7.11 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 9.9px/300 | #bg-canvas | 7.12 | 4.5 | 32 | 15 | `a.chip-label` |
| light | `#544019` | 12.5px/700 | opaque #e2dacd | 7.13 | 4.5 | 1 | 1 | `a.active` |
| light | `#433c31` | 12.5px/500 | opaque #d7d1bf | 7.13 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 12.5px/500 | opaque #d5d2c5 | 7.18 | 4.5 | 1 | 1 | `a` |
| light | `#585244` | 14.4px/300 | opaque #faf6ec | 7.19 | 4.5 | 15 | 2 | `p` |
| light | `#585244` | 13.4px/300 | opaque #faf6ec | 7.19 | 4.5 | 613 | 20 | `div.card-tagline` |
| light | `#585244` | 13.1px/300 | opaque #faf6ec | 7.19 | 4.5 | 14 | 2 | `p` |
| light | `#585244` | 10.9px/300 | opaque #faf6ec | 7.19 | 4.5 | 16 | 2 | `div.lbl` |
| light | `#585244` | 12.2px/300 | opaque #faf6ec | 7.19 | 4.5 | 582 | 19 | `div.card-meta` |
| light | `#585244` | 11.8px/300 | opaque #faf6ec | 7.19 | 4.5 | 115 | 3 | `a.branch-chip` |
| light | `#585244` | 11.2px/300 | opaque #faf6ec | 7.19 | 4.5 | 19 | 1 | `em` |
| light | `#585244` | 12.8px/300 | opaque #faf6ec | 7.19 | 4.5 | 2 | 1 | `div.mu-panel-meta` |
| light | `#585244` | 10.5px/300 | opaque #faf6ec | 7.19 | 4.5 | 17 | 1 | `text` |
| light | `#433c31` | 12.0px/300 | #bg-canvas | 7.23 | 4.5 | 4 | 1 | `p.daily-return` |
| light | `#000000` | 13.0px/300 | opaque #b3935a | 7.24 | 4.5 | 1 | 1 | `text.md-flag` |
| light | `#433c31` | 9.3px/400 | opaque #ddd1c1 | 7.24 | 4.5 | 1 | 1 | `span.brand-sub` |
| light | `#433c31` | 12.5px/500 | opaque #dcd1c5 | 7.24 | 4.5 | 1 | 1 | `a` |
| light | `#544019` | 12.5px/700 | opaque #dfddcf | 7.24 | 4.5 | 1 | 1 | `a.active` |
| light | `#433c31` | 16.0px/300 | #bg-canvas | 7.25 | 4.5 | 7 | 3 | `p` |
| dark | `#6fb3a8` | 12.5px/500 | opaque #1b1914 | 7.27 | 4.5 | 5 | 1 | `b.ig-rel.e-influenced` |
| light | `#433c31` | 13.8px/500 | opaque #e3d0bf | 7.28 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 13.8px/500 | opaque #dfd2ba | 7.29 | 4.5 | 1 | 1 | `a` |
| light | `#544019` | 38.4px/400 L | #bg-canvas | 7.31 | 3.0 | 2 | 1 | `b` |
| light | `#000000` | 13.0px/300 | opaque #b3945c | 7.31 | 4.5 | 1 | 1 | `text.md-flag` |
| light | `#433c31` | 10.9px/300 | #bg-canvas | 7.32 | 4.5 | 8 | 3 | `span.f-label` |
| dark | `#d8d2c4` | 13.8px/500 | #bg-canvas | 7.33 | 4.5 | 239 | 23 | `a` |
| light | `#433c31` | 13.8px/500 | opaque #dfd2c5 | 7.34 | 4.5 | 1 | 1 | `a` |
| light | `#544019` | 12.5px/700 | opaque #d9dfe1 | 7.34 | 4.5 | 1 | 1 | `a.active` |
| light | `#433c31` | 12.5px/500 | opaque #d8d4c9 | 7.35 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 9.3px/400 | opaque #dad4c3 | 7.35 | 4.5 | 1 | 1 | `span.brand-sub` |
| light | `#433c31` | 13.8px/500 | opaque #e6d2b4 | 7.38 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 13.8px/500 | opaque #dfd3c3 | 7.38 | 4.5 | 1 | 1 | `a` |
| light | `#1b4a43` | 9.9px/400 | #bg-canvas | 7.39 | 4.5 | 5 | 2 | `b` |
| light | `#433c31` | 13.8px/500 | opaque #dbd4c7 | 7.39 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 12.5px/500 | opaque #d7d5cd | 7.41 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 13.8px/500 | opaque #d8d5cd | 7.42 | 4.5 | 1 | 1 | `a` |
| dark | `#e8c98a` | 13.8px/700 | cover | 7.43 | 4.5 | 16 | 10 | `a.active` |
| light | `#000000` | 13.0px/300 | opaque #b79555 | 7.44 | 4.5 | 2 | 1 | `text.md-flag` |
| light | `#433c31` | 13.8px/500 | opaque #e3d4b9 | 7.46 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 13.8px/500 | opaque #e7d4b4 | 7.50 | 4.5 | 1 | 1 | `a` |
| dark | `#d8d2c4` | 12.5px/500 | cover | 7.52 | 4.5 | 129 | 16 | `a` |
| dark | `#d8d2c4` | 12.5px/500 | canvas+cover | 7.53 | 4.5 | 34 | 9 | `a` |
| dark | `#d8d2c4` | 13.8px/500 | cover | 7.54 | 4.5 | 121 | 15 | `a` |
| light | `#433c31` | 13.8px/500 | opaque #d1d9da | 7.59 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 16.5px/300 | #bg-canvas | 7.60 | 4.5 | 2 | 1 | `p.daily-note` |
| light | `#433c31` | 9.3px/400 | opaque #ded7c8 | 7.60 | 4.5 | 1 | 1 | `span.brand-sub` |
| light | `#433c31` | 12.5px/300 | opaque #ded7ca | 7.61 | 4.5 | 1 | 1 | `a` |
| dark | `#6fb3a8` | 9.9px/300 | opaque #16140f | 7.62 | 4.5 | 4 | 2 | `div.ec-kicker` |
| dark | `#6fb3a8` | 21.6px/300 | opaque #16140f | 7.62 | 4.5 | 4 | 2 | `span.ec-arrow` |
| dark | `#6fb3a8` | 9.3px/500 | opaque #16140f | 7.62 | 4.5 | 2 | 1 | `span.badge-soon` |
| dark | `#d8d2c4` | 9.3px/400 | cover | 7.65 | 4.5 | 37 | 16 | `span.brand-sub` |
| dark | `#d8d2c4` | 13.8px/500 | opaque #393938 | 7.67 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 12.5px/300 | opaque #dfd8cb | 7.68 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 12.5px/300 | opaque #dfd8ca | 7.68 | 4.5 | 1 | 1 | `a` |
| dark | `#d8d2c4` | 13.8px/500 | opaque #36393c | 7.71 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 12.5px/300 | opaque #dfd9cb | 7.74 | 4.5 | 1 | 1 | `a` |
| light | `#000000` | 13.0px/300 | opaque #b79962 | 7.75 | 4.5 | 2 | 1 | `text.md-flag` |
| light | `#544019` | 13.8px/700 | opaque #eee3cb | 7.76 | 4.5 | 1 | 1 | `a.active` |
| light | `#2b2620` | 23.2px/800 L | opaque #c0bab0 | 7.78 | 3.0 | 1 | 1 | `span.brand-text` |
| dark | `#d8d2c4` | 13.8px/500 | opaque #36383c | 7.79 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 12.5px/500 | opaque #dedace | 7.79 | 4.5 | 1 | 1 | `a` |
| light | `#544019` | 12.5px/700 | opaque #eee4cd | 7.82 | 4.5 | 1 | 1 | `a.active` |
| light | `#2b2620` | 23.2px/800 L | cover | 7.83 | 3.0 | 29 | 15 | `span.brand-text` |
| light | `#2b2620` | 23.2px/800 L | canvas+cover | 7.86 | 3.0 | 37 | 17 | `span.brand-text` |
| light | `#433c31` | 13.8px/500 | opaque #e3dacc | 7.86 | 4.5 | 1 | 1 | `a` |
| dark | `#d8d2c4` | 13.8px/500 | opaque #393734 | 7.87 | 4.5 | 1 | 1 | `a` |
| dark | `#171307` | 12.5px/500 | opaque #c9a45c | 7.90 | 4.5 | 12 | 5 | `button.f-btn.on` |
| light | `#2b2620` | 23.2px/800 L | opaque #c2bcaf | 7.93 | 3.0 | 1 | 1 | `span.brand-text` |
| light | `#000000` | 13.0px/300 | opaque #b99b65 | 7.94 | 4.5 | 1 | 1 | `text.md-flag` |
| light | `#544019` | 14.7px/300 | #bg-canvas | 7.95 | 4.5 | 1 | 1 | `a` |
| dark | `#e8c98a` | 11.5px/300 | cover | 7.97 | 4.5 | 2 | 1 | `div.kicker` |
| dark | `#e8c98a` | 12.2px/300 | cover | 7.97 | 4.5 | 2 | 1 | `a` |
| dark | `#d8d2c4` | 13.8px/500 | opaque #383633 | 7.99 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 12.5px/500 | opaque #d8dedf | 8.00 | 4.5 | 1 | 1 | `a` |
| light | `#000000` | 13.0px/300 | opaque #b99c65 | 8.01 | 4.5 | 2 | 1 | `text.md-flag` |
| light | `#000000` | 13.0px/300 | opaque #b99c66 | 8.01 | 4.5 | 1 | 1 | `text.md-flag` |
| light | `#000000` | 13.0px/300 | opaque #ba9c67 | 8.04 | 4.5 | 1 | 1 | `text.md-flag` |
| light | `#544019` | 13.8px/700 | opaque #efe7d9 | 8.05 | 4.5 | 1 | 1 | `a.active` |
| light | `#433c31` | 12.5px/500 | opaque #d9dfe0 | 8.08 | 4.5 | 1 | 1 | `a` |
| light | `#000000` | 13.0px/300 | opaque #be9c59 | 8.09 | 4.5 | 1 | 1 | `text.md-flag` |
| dark | `#e8c98a` | 13.8px/700 | canvas+cover | 8.10 | 4.5 | 8 | 5 | `a.active` |
| light | `#544019` | 12.5px/700 | opaque #efe8da | 8.11 | 4.5 | 1 | 1 | `a.active` |
| light | `#000000` | 13.0px/300 | opaque #ba9d67 | 8.11 | 4.5 | 1 | 1 | `text.md-flag` |
| dark | `#d8d2c4` | 9.3px/400 | opaque #353537 | 8.12 | 4.5 | 1 | 1 | `span.brand-sub` |
| light | `#433c31` | 12.5px/500 | opaque #eaddc8 | 8.12 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 12.5px/500 | opaque #e7decd | 8.15 | 4.5 | 1 | 1 | `a` |
| dark | `#d8d2c4` | 13.8px/500 | opaque #363530 | 8.16 | 4.5 | 1 | 1 | `a` |
| dark | `#e8c98a` | 13.8px/700 | opaque #313130 | 8.16 | 4.5 | 1 | 1 | `a.active` |
| light | `#433c31` | 12.5px/500 | opaque #dae0e2 | 8.16 | 4.5 | 1 | 1 | `a` |
| dark | `#e8c98a` | 14.7px/300 | cover | 8.18 | 4.5 | 17 | 9 | `a` |
| dark | `#d8d2c4` | 13.8px/500 | opaque #343437 | 8.23 | 4.5 | 1 | 1 | `a` |
| light | `#544019` | 13.8px/700 | opaque #f1eadd | 8.26 | 4.5 | 2 | 2 | `a.active` |
| dark | `#d8d2c4` | 13.8px/500 | canvas+cover | 8.27 | 4.5 | 58 | 13 | `a` |
| dark | `#d8d2c4` | 12.5px/300 | cover | 8.27 | 4.5 | 120 | 12 | `a` |
| dark | `#e8c98a` | 16.0px/300 | cover | 8.27 | 4.5 | 17 | 9 | `a` |
| dark | `#d8d2c4` | 13.8px/500 | opaque #353430 | 8.27 | 4.5 | 1 | 1 | `a` |
| dark | `#0d0c0a` | 10.9px/500 | opaque #caa43e | 8.28 | 4.5 | 8 | 1 | `span` |
| light | `#2b2620` | 23.2px/800 L | #bg-canvas | 8.28 | 3.0 | 141 | 32 | `span.brand-text` |
| light | `#433c31` | 12.2px/300 | #bg-canvas | 8.28 | 4.5 | 32 | 21 | `p.footer-note` |
| light | `#0d0c0a` | 10.9px/500 | opaque #caa43e | 8.28 | 4.5 | 8 | 1 | `span` |
| dark | `#e8c98a` | 12.5px/700 | opaque #26313c | 8.29 | 4.5 | 1 | 1 | `a.active` |
| dark | `#d8d2c4` | 9.3px/400 | opaque #343430 | 8.30 | 4.5 | 1 | 1 | `span.brand-sub` |
| light | `#433c31` | 9.3px/400 | opaque #e4e1d4 | 8.30 | 4.5 | 1 | 1 | `span.brand-sub` |
| dark | `#d8d2c4` | 13.8px/500 | opaque #333431 | 8.31 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 13.8px/500 | opaque #e3e1db | 8.32 | 4.5 | 1 | 1 | `a` |
| dark | `#d8d2c4` | 9.3px/400 | canvas+cover | 8.33 | 4.5 | 29 | 16 | `span.brand-sub` |
| dark | `#d8d2c4` | 12.5px/500 | opaque #3b3224 | 8.36 | 4.5 | 1 | 1 | `a` |
| light | `#544019` | 13.8px/700 | opaque #f2ecdf | 8.40 | 4.5 | 15 | 11 | `a.active` |
| light | `#544019` | 16.0px/300 | opaque #f2ecdf | 8.40 | 4.5 | 1 | 1 | `a` |
| light | `#544019` | 13.4px/500 | opaque #f2ecdf | 8.40 | 4.5 | 1 | 1 | `button.aw-btn.primary` |
| light | `#544019` | 19.2px/300 | opaque #f2ecdf | 8.40 | 4.5 | 5 | 1 | `span.le-num` |
| light | `#544019` | 13.1px/300 | opaque #f2ecdf | 8.40 | 4.5 | 4 | 1 | `a` |
| light | `#544019` | 17.9px/600 | opaque #f2ecdf | 8.40 | 4.5 | 3 | 1 | `a` |
| light | `#544019` | 13.8px/700 | opaque #f3ecdf | 8.41 | 4.5 | 1 | 1 | `a.active` |
| light | `#433c31` | 13.8px/500 | opaque #e5e2dc | 8.42 | 4.5 | 1 | 1 | `a` |
| dark | `#d8d2c4` | 13.8px/500 | opaque #2f3339 | 8.43 | 4.5 | 1 | 1 | `a` |
| dark | `#d8d2c4` | 16.8px/300 | cover | 8.44 | 4.5 | 2 | 1 | `p.lede` |
| dark | `#d8d2c4` | 12.2px/300 | cover | 8.44 | 4.5 | 2 | 1 | `p.footer-note` |
| light | `#433c31` | 13.8px/500 | opaque #e4e3d8 | 8.44 | 4.5 | 1 | 1 | `a` |
| light | `#2b2620` | 23.2px/800 L | opaque #cbc1b7 | 8.46 | 3.0 | 1 | 1 | `span.brand-text` |
| light | `#544019` | 13.8px/700 | opaque #f3ede0 | 8.47 | 4.5 | 1 | 1 | `a.active` |
| light | `#544019` | 13.8px/700 | opaque #f3ede1 | 8.48 | 4.5 | 2 | 1 | `a.active` |
| light | `#544019` | 12.5px/700 | opaque #f3ede1 | 8.48 | 4.5 | 1 | 1 | `a.active` |
| dark | `#d8d2c4` | 13.8px/500 | opaque #303330 | 8.49 | 4.5 | 1 | 1 | `a` |
| dark | `#d8d2c4` | 12.5px/500 | opaque #29333e | 8.51 | 4.5 | 1 | 1 | `a` |
| light | `#000000` | 13.0px/300 | opaque #bea16e | 8.51 | 4.5 | 1 | 1 | `text.md-flag` |
| dark | `#e8c98a` | 12.5px/700 | opaque #2f2e29 | 8.52 | 4.5 | 1 | 1 | `a.active` |
| light | `#433c31` | 13.8px/500 | opaque #ede3ca | 8.52 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 13.8px/500 | opaque #e6e4d7 | 8.52 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 12.5px/300 | opaque #eae3d5 | 8.52 | 4.5 | 1 | 1 | `a` |
| light | `#544019` | 13.8px/700 | opaque #f3eee1 | 8.53 | 4.5 | 1 | 1 | `a.active` |
| dark | `#d8d2c4` | 9.3px/400 | opaque #39311e | 8.54 | 4.5 | 1 | 1 | `span.brand-sub` |
| light | `#433c31` | 13.8px/500 | opaque #eee3cb | 8.54 | 4.5 | 4 | 1 | `a` |
| light | `#544019` | 13.8px/700 | opaque #f4eee2 | 8.56 | 4.5 | 14 | 10 | `a.active` |
| light | `#544019` | 12.5px/700 | opaque #f4eee2 | 8.56 | 4.5 | 9 | 7 | `a.active` |
| light | `#2b2620` | 16.0px/300 | #bg-canvas | 8.58 | 4.5 | 26 | 3 | `p` |
| light | `#433c31` | 13.8px/500 | opaque #e8e4db | 8.58 | 4.5 | 1 | 1 | `a` |
| light | `#544019` | 10.2px/300 | opaque #f5efe0 | 8.62 | 4.5 | 2 | 1 | `div.why-kicker` |
| light | `#2b2620` | 30.4px/800 L | cover | 8.62 | 3.0 | 12 | 12 | `h1` |
| light | `#433c31` | 9.3px/400 | opaque #e9e5d6 | 8.63 | 4.5 | 1 | 1 | `span.brand-sub` |
| dark | `#d8d2c4` | 14.7px/300 | cover | 8.66 | 4.5 | 21 | 12 | `span` |
| light | `#2b2620` | 16.8px/600 | cover | 8.71 | 4.5 | 10 | 1 | `b` |
| dark | `#d8d2c4` | 12.5px/500 | opaque #343027 | 8.72 | 4.5 | 1 | 1 | `a` |
| light | `#2b2620` | 57.6px/800 L | cover | 8.74 | 3.0 | 12 | 12 | `h1` |
| dark | `#d8d2c4` | 9.3px/400 | opaque #31302e | 8.75 | 4.5 | 1 | 1 | `span.brand-sub` |
| light | `#433c31` | 9.3px/400 | opaque #ece6d9 | 8.75 | 4.5 | 1 | 1 | `span.brand-sub` |
| dark | `#d8d2c4` | 16.0px/300 | cover | 8.76 | 4.5 | 33 | 12 | `span` |
| light | `#2b2620` | 23.2px/800 L | opaque #cdc5b8 | 8.76 | 3.0 | 1 | 1 | `span.brand-text` |
| light | `#433c31` | 13.8px/500 | opaque #efe6d0 | 8.76 | 4.5 | 1 | 1 | `a` |
| dark | `#d8d2c4` | 12.5px/500 | opaque #27313a | 8.78 | 4.5 | 1 | 1 | `a` |
| dark | `#e8c98a` | 12.5px/700 | opaque #2c2c27 | 8.79 | 4.5 | 1 | 1 | `a.active` |
| light | `#433c31` | 13.8px/500 | opaque #ebe7de | 8.82 | 4.5 | 1 | 1 | `a` |
| light | `#2b2620` | 23.2px/800 L | opaque #ccc6ba | 8.82 | 3.0 | 1 | 1 | `span.brand-text` |
| light | `#433c31` | 12.5px/500 | opaque #ede7da | 8.83 | 4.5 | 1 | 1 | `a` |
| light | `#2b2620` | 23.2px/800 L | opaque #ccc7b1 | 8.83 | 3.0 | 1 | 1 | `span.brand-text` |
| dark | `#ece6d9` | 23.2px/800 L | cover | 8.86 | 3.0 | 36 | 16 | `span.brand-text` |
| light | `#000000` | 13.0px/300 | opaque #c0a571 | 8.86 | 4.5 | 1 | 1 | `text.md-flag` |
| dark | `#d8d2c4` | 11.2px/300 | cover | 8.88 | 4.5 | 8 | 1 | `span` |
| dark | `#d8d2c4` | 17.9px/300 | cover | 8.89 | 4.5 | 12 | 12 | `div.hero-tagline` |
| dark | `#d8d2c4` | 12.5px/500 | opaque #26303b | 8.89 | 4.5 | 1 | 1 | `a` |
| dark | `#d8d2c4` | 13.8px/500 | opaque #372d23 | 8.92 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 13.8px/500 | opaque #efe8d9 | 8.92 | 4.5 | 2 | 1 | `a` |
| light | `#433c31` | 13.8px/500 | opaque #eee8dd | 8.93 | 4.5 | 1 | 1 | `a` |
| light | `#2b2620` | 18.9px/600 | #bg-canvas | 8.95 | 4.5 | 17 | 1 | `h3` |
| light | `#2b2620` | 23.2px/600 | #bg-canvas | 8.96 | 4.5 | 74 | 17 | `h2.sec-title` |
| light | `#433c31` | 13.8px/500 | opaque #f0e9db | 9.01 | 4.5 | 2 | 1 | `a` |
| dark | `#d8d2c4` | 12.5px/500 | opaque #2f2e28 | 9.04 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 9.3px/400 | opaque #f0eadd | 9.08 | 4.5 | 1 | 1 | `span.brand-sub` |
| dark | `#d8d2c4` | 13.8px/500 | opaque #362c1c | 9.09 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 14.7px/300 | opaque #f1eadc | 9.09 | 4.5 | 1 | 1 | `div.footer-brand` |
| light | `#433c31` | 13.8px/500 | opaque #f1eadc | 9.09 | 4.5 | 3 | 2 | `a` |
| light | `#433c31` | 13.8px/500 | opaque #f1eadd | 9.10 | 4.5 | 7 | 5 | `a` |
| light | `#433c31` | 9.3px/400 | opaque #f1eade | 9.10 | 4.5 | 1 | 1 | `span.brand-sub` |
| dark | `#d8d2c4` | 13.8px/500 | opaque #392b15 | 9.11 | 4.5 | 1 | 1 | `a` |
| dark | `#d8d2c4` | 12.5px/500 | opaque #2f2d2a | 9.11 | 4.5 | 1 | 1 | `a` |
| dark | `#ece6d9` | 23.2px/800 L | opaque #3d3a33 | 9.12 | 3.0 | 1 | 1 | `span.brand-text` |
| dark | `#d8d2c4` | 9.3px/400 | opaque #2f2d28 | 9.13 | 4.5 | 1 | 1 | `span.brand-sub` |
| light | `#433c31` | 12.5px/300 | opaque #edecdd | 9.14 | 4.5 | 1 | 1 | `span.trait` |
| light | `#544019` | 16.8px/400 | opaque #faf6ec | 9.16 | 4.5 | 269 | 33 | `button` |
| light | `#544019` | 9.9px/300 | opaque #faf6ec | 9.16 | 4.5 | 4 | 2 | `div.ec-kicker` |
| light | `#544019` | 12.8px/400 | opaque #faf6ec | 9.16 | 4.5 | 1 | 1 | `button.ec-surprise` |
| light | `#544019` | 21.6px/300 | opaque #faf6ec | 9.16 | 4.5 | 3 | 2 | `span.ec-arrow` |
| light | `#544019` | 10.2px/300 | opaque #faf6ec | 9.16 | 4.5 | 60 | 4 | `div.lc-kicker` |
| light | `#544019` | 27.2px/800 L | opaque #faf6ec | 9.16 | 3.0 | 10 | 1 | `span.n` |
| light | `#544019` | 13.1px/300 | opaque #faf6ec | 9.16 | 4.5 | 4 | 1 | `a` |
| light | `#544019` | 33.6px/800 L | opaque #faf6ec | 9.16 | 3.0 | 19 | 2 | `div.num` |
| light | `#433c31` | 9.3px/400 | opaque #f1ebde | 9.16 | 4.5 | 21 | 9 | `span.brand-sub` |
| light | `#433c31` | 12.5px/300 | opaque #edecdf | 9.16 | 4.5 | 1 | 1 | `span.trait` |
| light | `#544019` | 16.8px/600 | opaque #faf6ec | 9.16 | 4.5 | 23 | 2 | `h3` |
| light | `#544019` | 14.4px/500 | opaque #faf6ec | 9.16 | 4.5 | 4 | 1 | `b` |
| light | `#544019` | 15.2px/300 | opaque #faf6ec | 9.16 | 4.5 | 2 | 1 | `div.mu-panel-hook` |
| light | `#433c31` | 9.3px/400 | opaque #f1ebdd | 9.16 | 4.5 | 1 | 1 | `span.brand-sub` |
| light | `#433c31` | 12.5px/500 | opaque #f1ebde | 9.16 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 12.5px/500 | opaque #f2ebde | 9.18 | 4.5 | 1 | 1 | `a` |
| light | `#2b2620` | 12.5px/400 | #bg-canvas | 9.19 | 4.5 | 177 | 17 | `a.chip` |
| dark | `#d8d2c4` | 9.3px/400 | opaque #342b21 | 9.21 | 4.5 | 1 | 1 | `span.brand-sub` |
| light | `#2b2620` | 32.0px/800 L | #bg-canvas | 9.21 | 3.0 | 17 | 17 | `h1.display` |
| light | `#433c31` | 13.8px/500 | opaque #f1ecdf | 9.23 | 4.5 | 2 | 1 | `a` |
| light | `#433c31` | 13.8px/500 | opaque #f2ecde | 9.24 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 13.8px/500 | opaque #f2ecdf | 9.25 | 4.5 | 98 | 22 | `a` |
| light | `#433c31` | 12.5px/300 | opaque #f2ecdf | 9.25 | 4.5 | 92 | 17 | `a` |
| light | `#433c31` | 12.5px/400 | opaque #f2ecdf | 9.25 | 4.5 | 3 | 1 | `button.f-btn` |
| light | `#433c31` | 12.2px/300 | opaque #f2ecdf | 9.25 | 4.5 | 5 | 4 | `p.footer-note` |
| light | `#433c31` | 14.7px/300 | opaque #f2ecdf | 9.25 | 4.5 | 3 | 1 | `p.le-note` |
| light | `#433c31` | 15.2px/300 | opaque #f2ecdf | 9.25 | 4.5 | 12 | 1 | `a.cr-what` |
| light | `#433c31` | 11.2px/300 | opaque #f2ecdf | 9.25 | 4.5 | 4 | 3 | `span.tl-year.end` |
| light | `#433c31` | 9.3px/400 | opaque #f2ece0 | 9.25 | 4.5 | 1 | 1 | `span.brand-sub` |
| light | `#433c31` | 9.9px/300 | opaque #f2ecdf | 9.25 | 4.5 | 3 | 3 | `div.chip-label` |
| light | `#433c31` | 12.5px/500 | opaque #f2ecdf | 9.25 | 4.5 | 1 | 1 | `a` |
| light | `#2b2620` | 13.4px/400 | #bg-canvas | 9.26 | 4.5 | 32 | 4 | `button.aw-btn` |
| light | `#433c31` | 13.8px/500 | opaque #f3ecdf | 9.26 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 13.8px/500 | opaque #f3ece0 | 9.27 | 4.5 | 2 | 1 | `a` |
| dark | `#e8c98a` | 13.8px/700 | #bg-canvas | 9.28 | 4.5 | 23 | 9 | `a.active` |
| dark | `#d8d2c4` | 12.5px/500 | #bg-canvas | 9.28 | 4.5 | 253 | 33 | `a` |
| light | `#2b2620` | 13.0px/300 | #bg-canvas | 9.30 | 4.5 | 25 | 1 | `code` |
| light | `#433c31` | 13.8px/500 | opaque #f3ede0 | 9.33 | 4.5 | 26 | 8 | `a` |
| light | `#433c31` | 12.5px/500 | opaque #f3ede0 | 9.33 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 9.3px/400 | opaque #f3ede0 | 9.33 | 4.5 | 1 | 1 | `span.brand-sub` |
| light | `#433c31` | 13.8px/500 | opaque #f3ede1 | 9.34 | 4.5 | 14 | 8 | `a` |
| light | `#433c31` | 9.3px/400 | opaque #f3ede1 | 9.34 | 4.5 | 24 | 20 | `span.brand-sub` |
| light | `#433c31` | 12.5px/500 | opaque #f3ede1 | 9.34 | 4.5 | 3 | 3 | `a` |
| dark | `#d8d2c4` | 9.3px/400 | opaque #372915 | 9.35 | 4.5 | 1 | 1 | `span.brand-sub` |
| dark | `#e8c98a` | 13.8px/700 | opaque #2b2621 | 9.38 | 4.5 | 1 | 1 | `a.active` |
| light | `#433c31` | 12.5px/300 | opaque #eeefe3 | 9.38 | 4.5 | 1 | 1 | `span.trait` |
| light | `#433c31` | 12.5px/300 | opaque #eeefe4 | 9.38 | 4.5 | 1 | 1 | `span.trait` |
| dark | `#d8d2c4` | 12.5px/500 | opaque #362915 | 9.39 | 4.5 | 1 | 1 | `a` |
| dark | `#e8c98a` | 12.5px/700 | opaque #272722 | 9.40 | 4.5 | 1 | 1 | `a.active` |
| light | `#433c31` | 13.8px/500 | opaque #f3eee1 | 9.40 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 13.8px/500 | opaque #f3eee2 | 9.40 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 12.5px/500 | opaque #f3eee1 | 9.40 | 4.5 | 5 | 4 | `a` |
| light | `#433c31` | 13.8px/500 | opaque #f4eee1 | 9.41 | 4.5 | 8 | 2 | `a` |
| light | `#433c31` | 12.5px/500 | opaque #f4eee1 | 9.41 | 4.5 | 4 | 3 | `a` |
| dark | `#ece6d9` | 23.2px/800 L | opaque #383839 | 9.42 | 3.0 | 1 | 1 | `span.brand-text` |
| light | `#433c31` | 13.8px/500 | opaque #f4eee2 | 9.42 | 4.5 | 84 | 14 | `a` |
| light | `#433c31` | 12.5px/500 | opaque #f4eee2 | 9.42 | 4.5 | 81 | 21 | `a` |
