rows loaded: 15341
cells: dark@390, dark@1440, light@390, light@1440
routes: 33

distinct triples: 828   below floor: 62

| theme | ink | size | measured backdrop | worst | floor | n | routes | example selector |
| light | `#585244` | 10.5px/300 | opaque #93b5aa | **3.49** | 4.5 | 20 | 1 | `text` |
| dark | `#9b937f` | 10.5px/300 | opaque #5a3136 | **3.57** | 4.5 | 4 | 1 | `text` |
| light | `#81632b` | 32.0px/800 L | cover | 3.58 | 3.0 | 1 | 1 | `h1.home-title` |
| dark | `#8b8372` | 11.2px/300 | opaque #322a1b | **3.77** | 4.5 | 2 | 1 | `div.tl2-year.t` |
| dark | `#000000` | 13.0px/300 | opaque #7b653b | **3.77** | 4.5 | 2 | 1 | `text.md-flag` |
| light | `#706755` | 11.2px/300 | opaque #e1d3b7 | **3.78** | 4.5 | 2 | 1 | `div.tl2-year.t` |
| light | `#585244` | 10.5px/300 | opaque #dfb0b3 | **4.07** | 4.5 | 4 | 1 | `text` |
| light | `#585244` | 13.1px/300 | #bg-canvas | **4.35** | 4.5 | 18 | 1 | `div.le-meta` |
| light | `#81632b` | 59.2px/800 L | cover | 4.52 | 3.0 | 1 | 1 | `h1.home-title` |
| light | `#585244` | 10.5px/300 | opaque #e4bdbd | 4.55 | 4.5 | 1 | 1 | `text` |
| dark | `#9b937f` | 10.5px/300 | opaque #3c2526 | 4.63 | 4.5 | 1 | 1 | `text` |
| light | `#171307` | 12.5px/500 | opaque #9e7938 | 4.63 | 4.5 | 12 | 5 | `button.f-btn.on` |
| dark | `#ca6478` | 12.5px/500 | opaque #1b1914 | 4.69 | 4.5 | 5 | 1 | `b.ig-rel.e-rivaled` |
| dark | `#9b937f` | 10.5px/300 | opaque #372222 | 4.86 | 4.5 | 4 | 1 | `text` |
| dark | `#9b937f` | 12.5px/300 | opaque #272725 | 4.90 | 4.5 | 1 | 1 | `span` |
| dark | `#000000` | 13.0px/300 | opaque #917844 | 4.97 | 4.5 | 1 | 1 | `text.md-flag` |
| dark | `#000000` | 13.0px/300 | opaque #927845 | 4.99 | 4.5 | 1 | 1 | `text.md-flag` |
| dark | `#000000` | 13.0px/300 | opaque #947945 | 5.08 | 4.5 | 1 | 1 | `text.md-flag` |
| dark | `#9b937f` | 12.5px/300 | opaque #242320 | 5.14 | 4.5 | 1 | 1 | `span.sep` |
| light | `#476a98` | 9.9px/300 | opaque #faf6ec | 5.14 | 4.5 | 3 | 1 | `div.ec-kicker` |
| light | `#476a98` | 21.6px/300 | opaque #faf6ec | 5.14 | 4.5 | 3 | 1 | `span.ec-arrow` |
| dark | `#0d0c0a` | 10.9px/500 | opaque #8a8276 | 5.15 | 4.5 | 2 | 1 | `span` |
| dark | `#9b937f` | 15.2px/300 | opaque #24231f | 5.15 | 4.5 | 1 | 1 | `div.mu-sub` |
| light | `#0d0c0a` | 10.9px/500 | opaque #8a8276 | 5.15 | 4.5 | 2 | 1 | `span` |
| light | `#b43e56` | 12.5px/500 | opaque #faf6ec | 5.17 | 4.5 | 5 | 1 | `b.ig-rel.e-rivaled` |
| light | `#6b5122` | 18.9px/300 | opaque #dfd6ca | 5.17 | 4.5 | 1 | 1 | `div.mu-hook` |
| light | `#2b7368` | 9.9px/300 | opaque #faf6ec | 5.18 | 4.5 | 4 | 2 | `div.ec-kicker` |
| light | `#2b7368` | 21.6px/300 | opaque #faf6ec | 5.18 | 4.5 | 4 | 2 | `span.ec-arrow` |
| light | `#2b7368` | 9.3px/500 | opaque #faf6ec | 5.18 | 4.5 | 2 | 1 | `span.badge-soon` |
| light | `#2b7368` | 12.5px/500 | opaque #faf6ec | 5.18 | 4.5 | 5 | 1 | `b.ig-rel.e-influenced` |
| light | `#a05141` | 9.9px/300 | opaque #faf6ec | 5.19 | 4.5 | 4 | 2 | `div.ec-kicker` |
| light | `#a05141` | 21.6px/300 | opaque #faf6ec | 5.19 | 4.5 | 5 | 2 | `span.ec-arrow` |
| light | `#6b5122` | 18.9px/300 | opaque #ddd7cb | 5.19 | 4.5 | 1 | 1 | `div.mu-hook` |
| light | `#544019` | 12.5px/700 | opaque #c3bcb0 | 5.24 | 4.5 | 1 | 1 | `a.active` |
| light | `#000000` | 13.0px/300 | opaque #9e7938 | 5.25 | 4.5 | 4 | 1 | `text.md-flag` |
| light | `#585244` | 12.5px/300 | opaque #dad4c8 | 5.26 | 4.5 | 1 | 1 | `span` |
| light | `#000000` | 13.0px/300 | opaque #9f7939 | 5.27 | 4.5 | 4 | 1 | `text.md-flag` |
| light | `#000000` | 13.0px/300 | opaque #9f7a3a | 5.32 | 4.5 | 1 | 1 | `text.md-flag` |
| light | `#544019` | 12.5px/700 | opaque #c4bdb6 | 5.32 | 4.5 | 1 | 1 | `a.active` |
| light | `#585244` | 10.5px/300 | #bg-canvas | 5.33 | 4.5 | 8 | 1 | `text` |
| light | `#585244` | 15.2px/300 | opaque #ddd5c9 | 5.34 | 4.5 | 1 | 1 | `div.mu-sub` |
| dark | `#9b937f` | 12.5px/300 | opaque #1f201f | 5.35 | 4.5 | 1 | 1 | `span.sep` |
| dark | `#9b937f` | 12.5px/300 | opaque #1f201e | 5.35 | 4.5 | 1 | 1 | `span` |
| light | `#000000` | 13.0px/300 | opaque #9f7b3a | 5.37 | 4.5 | 1 | 1 | `text.md-flag` |
| light | `#000000` | 13.0px/300 | opaque #a07b3b | 5.39 | 4.5 | 2 | 1 | `text.md-flag` |
| dark | `#9b937f` | 12.5px/300 | opaque #1f1f1d | 5.40 | 4.5 | 1 | 1 | `span.sep` |
| dark | `#9b937f` | 15.2px/300 | opaque #201f19 | 5.41 | 4.5 | 1 | 1 | `div.mu-sub` |
| light | `#585244` | 12.5px/300 | opaque #ddd7c9 | 5.41 | 4.5 | 1 | 1 | `span` |
| light | `#585244` | 15.2px/300 | opaque #ddd7ca | 5.41 | 4.5 | 1 | 1 | `div.mu-sub` |
| dark | `#c9a45c` | 32.0px/800 L | cover | 5.42 | 3.0 | 1 | 1 | `h1.home-title` |
| light | `#585244` | 12.5px/300 | opaque #ded7c9 | 5.42 | 4.5 | 1 | 1 | `span.sep` |
| light | `#544019` | 12.5px/700 | opaque #c6c0b4 | 5.46 | 4.5 | 1 | 1 | `a.active` |
| light | `#585244` | 10.5px/300 | opaque #ecd3d0 | 5.47 | 4.5 | 4 | 1 | `text` |
| light | `#000000` | 13.0px/300 | opaque #a17c3d | 5.47 | 4.5 | 2 | 1 | `text.md-flag` |
| dark | `#9b937f` | 13.1px/300 | #bg-canvas | 5.50 | 4.5 | 19 | 1 | `div.le-meta` |
| light | `#000000` | 13.0px/300 | opaque #a17d3e | 5.52 | 4.5 | 1 | 1 | `text.md-flag` |
| light | `#000000` | 13.0px/300 | opaque #a17d3d | 5.52 | 4.5 | 1 | 1 | `text.md-flag` |
| light | `#544019` | 13.1px/300 | #bg-canvas | 5.54 | 4.5 | 29 | 3 | `a` |
| light | `#544019` | 17.9px/600 | #bg-canvas | 5.55 | 4.5 | 18 | 1 | `a` |
| light | `#544019` | 13.8px/700 | canvas+cover | 5.55 | 4.5 | 8 | 5 | `a.active` |
| light | `#544019` | 13.8px/700 | #bg-canvas | 5.57 | 4.5 | 30 | 14 | `a.active` |
| light | `#433c31` | 13.8px/500 | cover | 5.57 | 4.5 | 95 | 12 | `a` |
| light | `#433c31` | 12.5px/500 | cover | 5.57 | 4.5 | 127 | 17 | `a` |
| light | `#000000` | 13.0px/300 | opaque #a27e3f | 5.59 | 4.5 | 1 | 1 | `text.md-flag` |
| light | `#433c31` | 13.8px/500 | #bg-canvas | 5.65 | 4.5 | 380 | 33 | `a` |
| light | `#433c31` | 9.3px/400 | opaque #c0bab0 | 5.65 | 4.5 | 1 | 1 | `span.brand-sub` |
| light | `#000000` | 13.0px/300 | opaque #a37f3f | 5.66 | 4.5 | 1 | 1 | `text.md-flag` |
| light | `#433c31` | 12.5px/500 | opaque #c0bbb0 | 5.69 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 9.3px/400 | canvas+cover | 5.71 | 4.5 | 37 | 17 | `span.brand-sub` |
| dark | `#c97b6a` | 9.9px/300 | opaque #16140f | 5.72 | 4.5 | 4 | 2 | `div.ec-kicker` |
| dark | `#c97b6a` | 21.6px/300 | opaque #16140f | 5.72 | 4.5 | 5 | 2 | `span.ec-arrow` |
| light | `#433c31` | 9.3px/400 | cover | 5.76 | 4.5 | 29 | 15 | `span.brand-sub` |
| light | `#433c31` | 9.3px/400 | opaque #c2bcb0 | 5.76 | 4.5 | 1 | 1 | `span.brand-sub` |
| light | `#544019` | 14.7px/300 | cover | 5.76 | 4.5 | 17 | 9 | `a` |
