rows(all)=15894 clean=15341 fullyOccluded=553

DISTINCT TRIPLES (ink,size,backdrop-CLASS): 328 ; below floor: 6

| theme | ink | size/wt | backdrop class | worst | floor | rows | routes | example |
| dark | `#e8c98a` | 14.4/500 | opaque | 11.53 | 4.5 | 4 | 1 | `b` |
| dark | `#e8c98a` | 15.2/300 | opaque | 11.53 | 4.5 | 2 | 1 | `div.mu-panel-hook` |
| light | `#2b2620` | 30.4/600 | #bg-canvas | 11.69 | 3.0 | 1 | 1 | `a` |
| light | `#2b2620` | 27.2/800 | #bg-canvas | 11.84 | 3.0 | 1 | 1 | `h1.display` |
| dark | `#d8d2c4` | 16.5/300 | #bg-canvas | 11.88 | 4.5 | 2 | 1 | `p.daily-note` |
| dark | `#ece6d9` | 23.2/600 | #bg-canvas | 11.88 | 4.5 | 71 | 17 | `h2.sec-title` |
| dark | `#ece6d9` | 16.0/300 | #bg-canvas | 11.88 | 4.5 | 24 | 3 | `p` |
| dark | `#ece6d9` | 54.4/800 | #bg-canvas | 11.97 | 3.0 | 16 | 16 | `h1.display` |
| dark | `#ece6d9` | 12.5/400 | #bg-canvas | 12.09 | 4.5 | 147 | 16 | `a.chip` |
| dark | `#ece6d9` | 23.2/800 | #bg-canvas | 12.17 | 3.0 | 103 | 31 | `span.brand-text` |
| dark | `#d8d2c4` | 12.5/400 | opaque | 12.21 | 4.5 | 17 | 4 | `button.f-btn` |
| dark | `#d8d2c4` | 11.5/300 | opaque | 12.21 | 4.5 | 40 | 3 | `span.mc-meta` |
| dark | `#d8d2c4` | 9.9/300 | opaque | 12.21 | 4.5 | 16 | 8 | `a.chip-label` |
| dark | `#d8d2c4` | 11.8/300 | opaque | 12.21 | 4.5 | 2 | 1 | `p.map-hint` |
| dark | `#e8c98a` | 16.0/300 | opaque | 12.25 | 4.5 | 2 | 2 | `a` |
| dark | `#e8c98a` | 17.9/600 | opaque | 12.25 | 4.5 | 1 | 1 | `a` |
| dark | `#e8c98a` | 16.8/500 | opaque | 12.25 | 4.5 | 1 | 1 | `a.aw-btn.primary.ob-cta` |
| dark | `#e8c98a` | 10.9/300 | opaque | 12.25 | 4.5 | 1 | 1 | `div.page-kicker` |
| dark | `#e8c98a` | 14.7/300 | opaque | 12.25 | 4.5 | 1 | 1 | `a` |
| dark | `#e8c98a` | 19.2/300 | opaque | 12.25 | 4.5 | 3 | 1 | `span.le-num` |
| dark | `#d8d2c4` | 12.2/300 | #bg-canvas | 12.31 | 4.5 | 37 | 24 | `p.footer-note` |
| dark | `#ece6d9` | 32.0/800 | opaque | 12.46 | 3.0 | 1 | 1 | `h1.display` |
| light | `#2b2620` | 14.7/400 | opaque | 12.52 | 4.5 | 6 | 6 | `strong` |
| dark | `#ece6d9` | 54.4/800 | opaque | 12.65 | 3.0 | 1 | 1 | `h1.display` |
| dark | `#ece6d9` | 13.0/300 | #bg-canvas | 12.71 | 4.5 | 25 | 1 | `code` |
| light | `#2b2620` | 18.9/600 | opaque | 12.73 | 4.5 | 1 | 1 | `h3` |
| light | `#2b2620` | 41.6/800 | opaque | 12.73 | 3.0 | 2 | 1 | `h1.display` |
| light | `#2b2620` | 23.2/600 | opaque | 12.73 | 4.5 | 1 | 1 | `h2.sec-title` |
| dark | `#ece6d9` | 52.0/800 | #bg-canvas | 12.89 | 3.0 | 1 | 1 | `h1.display` |
| dark | `#d8d2c4` | 12.8/400 | opaque | 12.97 | 4.5 | 4 | 4 | `span.count` |
| dark | `#d8d2c4` | 16.0/300 | opaque | 12.97 | 4.5 | 2 | 1 | `span` |
| dark | `#d8d2c4` | 12.2/400 | opaque | 12.97 | 4.5 | 15 | 2 | `button.tl2-leg` |
| dark | `#d8d2c4` | 10.9/300 | opaque | 12.97 | 4.5 | 2 | 2 | `span.f-label` |
| dark | `#d8d2c4` | 11.2/300 | opaque | 12.97 | 4.5 | 7 | 4 | `span.tl-year.end` |
| dark | `#d8d2c4` | 15.2/300 | opaque | 12.97 | 4.5 | 2 | 1 | `a.cr-what` |
| dark | `#ece6d9` | 32.0/800 | #bg-canvas | 12.99 | 3.0 | 17 | 17 | `h1.display` |
| dark | `#ece6d9` | 17.9/300 | opaque | 13.02 | 4.5 | 2 | 1 | `p` |
| dark | `#f2eee5` | 9.9/300 | opaque | 13.04 | 4.5 | 5 | 2 | `span` |
| light | `#f2eee5` | 9.9/300 | opaque | 13.04 | 4.5 | 5 | 2 | `span` |
| light | `#2b2620` | 17.9/300 | opaque | 13.07 | 4.5 | 2 | 1 | `p` |
| dark | `#ece6d9` | 18.9/600 | #bg-canvas | 13.11 | 4.5 | 17 | 1 | `h3` |
| dark | `#ece6d9` | 22.4/600 | #bg-canvas | 13.37 | 4.5 | 6 | 1 | `h2` |
| dark | `#ece6d9` | 13.4/400 | #bg-canvas | 13.40 | 4.5 | 27 | 4 | `button.aw-btn` |
| dark | `#ece6d9` | 12.5/400 | opaque | 13.42 | 4.5 | 66 | 14 | `a.chip.n` |
| dark | `#ece6d9` | 15.4/300 | #bg-canvas | 13.44 | 4.5 | 5 | 2 | `span` |
| dark | `#ece6d9` | 48.0/600 | #bg-canvas | 13.51 | 3.0 | 2 | 1 | `h1` |
| dark | `#ece6d9` | 14.4/300 | #bg-canvas | 13.55 | 4.5 | 13 | 1 | `span.mc-name` |
| light | `#2b2620` | 22.4/600 | opaque | 13.89 | 4.5 | 15 | 2 | `h3` |
| light | `#2b2620` | 17.9/600 | opaque | 13.89 | 4.5 | 651 | 22 | `a` |
| light | `#2b2620` | 17.3/600 | opaque | 13.89 | 4.5 | 9 | 1 | `b` |
| light | `#2b2620` | 11.2/400 | opaque | 13.89 | 4.5 | 574 | 13 | `a.chip.m` |
| light | `#2b2620` | 13.1/300 | opaque | 13.89 | 4.5 | 19 | 1 | `span.arc-work-t` |
| light | `#2b2620` | 14.4/300 | opaque | 13.89 | 4.5 | 38 | 2 | `span.mc-name` |
| light | `#2b2620` | 17.3/300 | opaque | 13.89 | 4.5 | 2 | 1 | `a.mu-panel-name` |
| light | `#2b2620` | 16.0/300 | opaque | 13.89 | 4.5 | 2 | 1 | `span.f-label` |
| dark | `#ece6d9` | 11.2/400 | opaque | 14.12 | 4.5 | 572 | 13 | `a.chip.m` |
| dark | `#ece6d9` | 30.4/600 | #bg-canvas | 14.38 | 3.0 | 1 | 1 | `a` |
| dark | `#ece6d9` | 38.4/600 | #bg-canvas | 14.39 | 3.0 | 1 | 1 | `a` |
| dark | `#ece6d9` | 22.4/600 | opaque | 14.80 | 4.5 | 15 | 2 | `h3` |
| dark | `#ece6d9` | 17.9/600 | opaque | 14.80 | 4.5 | 651 | 22 | `a` |
| dark | `#ece6d9` | 17.3/600 | opaque | 14.80 | 4.5 | 9 | 1 | `b` |
| dark | `#ece6d9` | 13.1/300 | opaque | 14.80 | 4.5 | 19 | 1 | `span.arc-work-t` |
| dark | `#ece6d9` | 14.4/300 | opaque | 14.80 | 4.5 | 39 | 3 | `span.mc-name` |
| dark | `#ece6d9` | 17.3/300 | opaque | 14.80 | 4.5 | 2 | 1 | `a.mu-panel-name` |
| dark | `#ece6d9` | 16.0/300 | opaque | 14.80 | 4.5 | 4 | 3 | `em` |
| dark | `#ece6d9` | 14.7/400 | #bg-canvas | 14.85 | 4.5 | 45 | 24 | `strong` |
| dark | `#ece6d9` | 16.0/400 | #bg-canvas | 14.98 | 4.5 | 3 | 1 | `strong` |
| dark | `#ece6d9` | 41.6/800 | #bg-canvas | 15.70 | 3.0 | 2 | 1 | `h1.display` |
| dark | `#ece6d9` | 18.9/600 | opaque | 15.72 | 4.5 | 1 | 1 | `h3` |
| dark | `#ece6d9` | 13.4/400 | opaque | 15.72 | 4.5 | 5 | 2 | `button.aw-btn` |
| dark | `#ece6d9` | 23.2/600 | opaque | 15.72 | 4.5 | 4 | 4 | `h2.sec-title` |
| dark | `#ece6d9` | 27.2/800 | opaque | 15.72 | 3.0 | 1 | 1 | `h1.display` |

ROUTE x CELL (rows measured)
| route | light@1440 | dark@1440 | light@390 | dark@390 |
| --- | --- | --- | --- | --- |
| `#/` | 318 | 315 | 131 | 131 |
| `#/artist/leonardo-da-vinci` | 287 | 287 | 111 | 111 |
| `#/artists` | 193 | 193 | 81 | 81 |
| `#/artwork/david` | 95 | 95 | 86 | 86 |
| `#/credits` | 264 | 264 | 178 | 178 |
| `#/daily` | 74 | 74 | 65 | 65 |
| `#/era/14th-century` | 72 | 72 | 86 | 86 |
| `#/era/15th-century` | 155 | 155 | 95 | 95 |
| `#/era/16th-century` | 208 | 208 | 95 | 95 |
| `#/era/17th-century` | 236 | 236 | 96 | 96 |
| `#/era/18th-century` | 222 | 222 | 83 | 83 |
| `#/era/19th-century` | 228 | 228 | 98 | 98 |
| `#/era/20th-century` | 233 | 233 | 100 | 100 |
| `#/era/21st-century` | 191 | 191 | 101 | 101 |
| `#/eras` | 71 | 71 | 55 | 55 |
| `#/explore` | 43 | 43 | 59 | 59 |
| `#/influences` | 141 | 141 | 78 | 78 |
| `#/list/paintings-that-still-scare-us` | 143 | 143 | 140 | 140 |
| `#/lists` | 88 | 88 | 49 | 49 |
| `#/movement/impressionism` | 187 | 187 | 80 | 80 |
| `#/movements` | 147 | 147 | 66 | 66 |
| `#/museum/louvre` | 155 | 155 | 79 | 79 |
| `#/museums` | 110 | 110 | 48 | 48 |
| `#/nation/italy` | 250 | 250 | 81 | 81 |
| `#/nations` | 214 | 214 | 106 | 106 |
| `#/no-such-page` | 28 | 28 | 36 | 36 |
| `#/palette` | 28 | 28 | 35 | 35 |
| `#/passport/import` | 28 | 28 | 36 | 36 |
| `#/privacy` | 98 | 98 | 72 | 72 |
| `#/taste` | 28 | 28 | 35 | 35 |
| `#/technique/oil-painting` | 224 | 224 | 82 | 82 |
| `#/techniques` | 148 | 148 | 66 | 66 |
| `#/timeline` | 87 | 87 | 69 | 69 |

OCCLUDED-PIXEL LOWS — NOT AC19 verdicts (3 groups)
| theme | vp | route | occluder(s) | worst occluded | clean worst | n |
| --- | --- | --- | --- | --- | --- | --- |
| light | 390 | `#/daily` | `button.skip-link`, `header.site-header` | 1.07 | none (fully occluded) | 1 |
| dark | 390 | `#/timeline` | `button.skip-link`, `header.site-header` | 1.09 | none (fully occluded) | 1 |
| dark | 1440 | `#/timeline` | `button.skip-link`, `header.site-header` | 1.12 | none (fully occluded) | 2 |
