rows(all)=15894 clean=15341 fullyOccluded=553

DISTINCT TRIPLES (ink,size,backdrop-CLASS): 328 ; below floor: 6

| theme | ink | size/wt | backdrop class | worst | floor | rows | routes | example |
| dark | `#9b937f` | 12.2/300 | opaque | 6.02 | 4.5 | 582 | 19 | `div.card-meta` |
| dark | `#9b937f` | 11.8/300 | opaque | 6.02 | 4.5 | 114 | 3 | `a.branch-chip` |
| dark | `#9b937f` | 11.2/300 | opaque | 6.02 | 4.5 | 19 | 1 | `em` |
| dark | `#9b937f` | 12.8/300 | opaque | 6.02 | 4.5 | 2 | 1 | `div.mu-panel-meta` |
| dark | `#9b937f` | 10.5/300 | #bg-canvas | 6.07 | 4.5 | 8 | 1 | `text` |
| light | `#433c31` | 12.5/500 | #bg-canvas | 6.07 | 4.5 | 270 | 33 | `a` |
| light | `#544019` | 13.4/500 | #bg-canvas | 6.11 | 4.5 | 8 | 4 | `a.aw-btn.primary` |
| light | `#544019` | 16.0/300 | cover | 6.11 | 4.5 | 17 | 9 | `a` |
| light | `#433c31` | 14.7/300 | #bg-canvas | 6.12 | 4.5 | 61 | 24 | `span` |
| light | `#544019` | 15.5/300 | #bg-canvas | 6.12 | 4.5 | 4 | 1 | `a` |
| light | `#544019` | 10.9/300 | #bg-canvas | 6.13 | 4.5 | 28 | 14 | `div.page-kicker` |
| light | `#433c31` | 12.5/300 | cover | 6.20 | 4.5 | 120 | 12 | `a` |
| light | `#433c31` | 12.5/300 | #bg-canvas | 6.22 | 4.5 | 580 | 24 | `a` |
| light | `#433c31` | 15.2/300 | #bg-canvas | 6.22 | 4.5 | 79 | 2 | `li` |
| light | `#544019` | 10.4/300 | #bg-canvas | 6.24 | 4.5 | 4 | 2 | `div.daily-kicker` |
| light | `#544019` | 16.0/300 | #bg-canvas | 6.26 | 4.5 | 15 | 4 | `a` |
| light | `#433c31` | 12.5/500 | canvas+cover | 6.30 | 4.5 | 38 | 9 | `a` |
| light | `#433c31` | 14.7/300 | cover | 6.33 | 4.5 | 21 | 12 | `span` |
| light | `#544019` | 12.2/400 | #bg-canvas | 6.38 | 4.5 | 2 | 1 | `button.tl2-leg.tl2-leg-more` |
| light | `#544019` | 12.5/700 | canvas+cover | 6.39 | 4.5 | 1 | 1 | `a.active` |
| light | `#433c31` | 16.0/300 | cover | 6.47 | 4.5 | 33 | 12 | `span` |
| dark | `#7d9cc0` | 9.9/300 | opaque | 6.48 | 4.5 | 3 | 1 | `div.ec-kicker` |
| dark | `#7d9cc0` | 21.6/300 | opaque | 6.48 | 4.5 | 3 | 1 | `span.ec-arrow` |
| light | `#433c31` | 15.5/300 | #bg-canvas | 6.49 | 4.5 | 26 | 2 | `p` |
| light | `#433c31` | 12.2/400 | #bg-canvas | 6.53 | 4.5 | 42 | 2 | `button.tl2-leg` |
| light | `#433c31` | 11.8/300 | #bg-canvas | 6.53 | 4.5 | 6 | 2 | `p.map-hint` |
| light | `#544019` | 16.8/500 | #bg-canvas | 6.53 | 4.5 | 6 | 2 | `a.aw-btn.primary.ob-cta` |
| light | `#433c31` | 15.8/300 | #bg-canvas | 6.54 | 4.5 | 20 | 10 | `p.desc-col` |
| light | `#585244` | 13.1/300 | opaque | 6.59 | 4.5 | 17 | 3 | `p` |
| light | `#433c31` | 11.2/300 | cover | 6.59 | 4.5 | 8 | 1 | `span` |
| light | `#544019` | 12.5/700 | #bg-canvas | 6.62 | 4.5 | 22 | 10 | `a.active` |
| light | `#433c31` | 17.9/300 | #bg-canvas | 6.65 | 4.5 | 2 | 1 | `p.daily-note` |
| light | `#433c31` | 17.9/300 | cover | 6.66 | 4.5 | 12 | 12 | `div.hero-tagline` |
| light | `#433c31` | 16.3/300 | #bg-canvas | 6.72 | 4.5 | 35 | 16 | `p.page-lede` |
| light | `#433c31` | 10.4/300 | #bg-canvas | 6.78 | 4.5 | 6 | 2 | `span` |
| light | `#433c31` | 13.1/300 | #bg-canvas | 6.83 | 4.5 | 6 | 2 | `span` |
| light | `#433c31` | 11.2/300 | #bg-canvas | 6.83 | 4.5 | 30 | 8 | `span.tl-year.end` |
| light | `#433c31` | 12.8/400 | #bg-canvas | 6.84 | 4.5 | 27 | 12 | `span.count` |
| light | `#544019` | 12.2/300 | #bg-canvas | 6.86 | 4.5 | 5 | 2 | `a.daily-enter` |
| dark | `#e8c98a` | 13.8/700 | opaque | 6.89 | 4.5 | 50 | 22 | `a.active` |
| light | `#433c31` | 11.5/300 | #bg-canvas | 6.97 | 4.5 | 14 | 1 | `span.mc-meta` |
| light | `#433c31` | 16.8/300 | cover | 7.02 | 4.5 | 2 | 1 | `p.lede` |
| light | `#433c31` | 16.8/300 | #bg-canvas | 7.03 | 4.5 | 1 | 1 | `p` |
| light | `#433c31` | 12.5/400 | #bg-canvas | 7.05 | 4.5 | 39 | 4 | `button.f-btn` |
| light | `#433c31` | 12.2/300 | cover | 7.06 | 4.5 | 4 | 1 | `a` |
| dark | `#d8d2c4` | 13.8/500 | opaque | 7.10 | 4.5 | 429 | 33 | `a` |
| light | `#433c31` | 9.9/300 | #bg-canvas | 7.12 | 4.5 | 32 | 15 | `a.chip-label` |
| light | `#585244` | 14.4/300 | opaque | 7.19 | 4.5 | 15 | 2 | `p` |
| light | `#585244` | 13.4/300 | opaque | 7.19 | 4.5 | 613 | 20 | `div.card-tagline` |
| light | `#585244` | 10.9/300 | opaque | 7.19 | 4.5 | 16 | 2 | `div.lbl` |
| light | `#585244` | 12.2/300 | opaque | 7.19 | 4.5 | 582 | 19 | `div.card-meta` |
| light | `#585244` | 11.8/300 | opaque | 7.19 | 4.5 | 115 | 3 | `a.branch-chip` |
| light | `#585244` | 11.2/300 | opaque | 7.19 | 4.5 | 19 | 1 | `em` |
| light | `#585244` | 12.8/300 | opaque | 7.19 | 4.5 | 2 | 1 | `div.mu-panel-meta` |
| light | `#433c31` | 12.0/300 | #bg-canvas | 7.23 | 4.5 | 4 | 1 | `p.daily-return` |
| light | `#433c31` | 16.0/300 | #bg-canvas | 7.25 | 4.5 | 7 | 3 | `p` |
| dark | `#6fb3a8` | 12.5/500 | opaque | 7.27 | 4.5 | 5 | 1 | `b.ig-rel.e-influenced` |
| light | `#544019` | 38.4/400 | #bg-canvas | 7.31 | 3.0 | 2 | 1 | `b` |
| light | `#433c31` | 10.9/300 | #bg-canvas | 7.32 | 4.5 | 8 | 3 | `span.f-label` |
| dark | `#d8d2c4` | 13.8/500 | #bg-canvas | 7.33 | 4.5 | 239 | 23 | `a` |
| light | `#1b4a43` | 9.9/400 | #bg-canvas | 7.39 | 4.5 | 5 | 2 | `b` |
| dark | `#e8c98a` | 13.8/700 | cover | 7.43 | 4.5 | 16 | 10 | `a.active` |
| dark | `#d8d2c4` | 12.5/500 | cover | 7.52 | 4.5 | 129 | 16 | `a` |
| dark | `#d8d2c4` | 12.5/500 | canvas+cover | 7.53 | 4.5 | 34 | 9 | `a` |
| dark | `#d8d2c4` | 13.8/500 | cover | 7.54 | 4.5 | 121 | 15 | `a` |
| light | `#433c31` | 16.5/300 | #bg-canvas | 7.60 | 4.5 | 2 | 1 | `p.daily-note` |
| light | `#433c31` | 12.5/300 | opaque | 7.61 | 4.5 | 105 | 18 | `a` |
| dark | `#6fb3a8` | 9.9/300 | opaque | 7.62 | 4.5 | 4 | 2 | `div.ec-kicker` |
| dark | `#6fb3a8` | 21.6/300 | opaque | 7.62 | 4.5 | 4 | 2 | `span.ec-arrow` |
| dark | `#6fb3a8` | 9.3/500 | opaque | 7.62 | 4.5 | 2 | 1 | `span.badge-soon` |
| dark | `#d8d2c4` | 9.3/400 | cover | 7.65 | 4.5 | 37 | 16 | `span.brand-sub` |
| light | `#2b2620` | 23.2/800 | opaque | 7.78 | 3.0 | 62 | 26 | `span.brand-text` |
| light | `#2b2620` | 23.2/800 | cover | 7.83 | 3.0 | 29 | 15 | `span.brand-text` |
| light | `#2b2620` | 23.2/800 | canvas+cover | 7.86 | 3.0 | 37 | 17 | `span.brand-text` |
| dark | `#171307` | 12.5/500 | opaque | 7.90 | 4.5 | 12 | 5 | `button.f-btn.on` |
| light | `#544019` | 14.7/300 | #bg-canvas | 7.95 | 4.5 | 1 | 1 | `a` |
| dark | `#e8c98a` | 11.5/300 | cover | 7.97 | 4.5 | 2 | 1 | `div.kicker` |
| dark | `#e8c98a` | 12.2/300 | cover | 7.97 | 4.5 | 2 | 1 | `a` |
| dark | `#e8c98a` | 13.8/700 | canvas+cover | 8.10 | 4.5 | 8 | 5 | `a.active` |
| dark | `#d8d2c4` | 9.3/400 | opaque | 8.12 | 4.5 | 102 | 31 | `span.brand-sub` |
| dark | `#e8c98a` | 14.7/300 | cover | 8.18 | 4.5 | 17 | 9 | `a` |
| dark | `#d8d2c4` | 13.8/500 | canvas+cover | 8.27 | 4.5 | 58 | 13 | `a` |
| dark | `#d8d2c4` | 12.5/300 | cover | 8.27 | 4.5 | 120 | 12 | `a` |
| dark | `#e8c98a` | 16.0/300 | cover | 8.27 | 4.5 | 17 | 9 | `a` |
| light | `#2b2620` | 23.2/800 | #bg-canvas | 8.28 | 3.0 | 141 | 32 | `span.brand-text` |
| light | `#433c31` | 12.2/300 | #bg-canvas | 8.28 | 4.5 | 32 | 21 | `p.footer-note` |
| dark | `#e8c98a` | 12.5/700 | opaque | 8.29 | 4.5 | 23 | 10 | `a.active` |
| dark | `#d8d2c4` | 9.3/400 | canvas+cover | 8.33 | 4.5 | 29 | 16 | `span.brand-sub` |
| dark | `#d8d2c4` | 12.5/500 | opaque | 8.36 | 4.5 | 143 | 27 | `a` |
| light | `#544019` | 13.1/300 | opaque | 8.40 | 4.5 | 8 | 2 | `a` |
| light | `#544019` | 16.0/300 | opaque | 8.40 | 4.5 | 1 | 1 | `a` |
| light | `#544019` | 13.4/500 | opaque | 8.40 | 4.5 | 1 | 1 | `button.aw-btn.primary` |
| light | `#544019` | 19.2/300 | opaque | 8.40 | 4.5 | 5 | 1 | `span.le-num` |
| light | `#544019` | 17.9/600 | opaque | 8.40 | 4.5 | 3 | 1 | `a` |
| dark | `#d8d2c4` | 16.8/300 | cover | 8.44 | 4.5 | 2 | 1 | `p.lede` |
| dark | `#d8d2c4` | 12.2/300 | cover | 8.44 | 4.5 | 2 | 1 | `p.footer-note` |
| light | `#2b2620` | 16.0/300 | #bg-canvas | 8.58 | 4.5 | 26 | 3 | `p` |
| light | `#544019` | 10.2/300 | opaque | 8.62 | 4.5 | 62 | 5 | `div.lc-kicker` |
| light | `#2b2620` | 30.4/800 | cover | 8.62 | 3.0 | 12 | 12 | `h1` |
| dark | `#d8d2c4` | 14.7/300 | cover | 8.66 | 4.5 | 21 | 12 | `span` |
| light | `#2b2620` | 16.8/600 | cover | 8.71 | 4.5 | 10 | 1 | `b` |
| light | `#2b2620` | 57.6/800 | cover | 8.74 | 3.0 | 12 | 12 | `h1` |
| dark | `#d8d2c4` | 16.0/300 | cover | 8.76 | 4.5 | 33 | 12 | `span` |
| dark | `#ece6d9` | 23.2/800 | cover | 8.86 | 3.0 | 36 | 16 | `span.brand-text` |
| dark | `#d8d2c4` | 11.2/300 | cover | 8.88 | 4.5 | 8 | 1 | `span` |
| dark | `#d8d2c4` | 17.9/300 | cover | 8.89 | 4.5 | 12 | 12 | `div.hero-tagline` |
| light | `#2b2620` | 18.9/600 | #bg-canvas | 8.95 | 4.5 | 17 | 1 | `h3` |
| light | `#2b2620` | 23.2/600 | #bg-canvas | 8.96 | 4.5 | 74 | 17 | `h2.sec-title` |
| light | `#433c31` | 14.7/300 | opaque | 9.09 | 4.5 | 4 | 1 | `p.le-note` |
| dark | `#ece6d9` | 23.2/800 | opaque | 9.12 | 3.0 | 99 | 31 | `span.brand-text` |
| light | `#544019` | 16.8/400 | opaque | 9.16 | 4.5 | 269 | 33 | `button` |
| light | `#544019` | 9.9/300 | opaque | 9.16 | 4.5 | 4 | 2 | `div.ec-kicker` |
| light | `#544019` | 12.8/400 | opaque | 9.16 | 4.5 | 1 | 1 | `button.ec-surprise` |
| light | `#544019` | 21.6/300 | opaque | 9.16 | 4.5 | 3 | 2 | `span.ec-arrow` |
| light | `#544019` | 27.2/800 | opaque | 9.16 | 3.0 | 10 | 1 | `span.n` |
| light | `#544019` | 33.6/800 | opaque | 9.16 | 3.0 | 19 | 2 | `div.num` |
| light | `#544019` | 16.8/600 | opaque | 9.16 | 4.5 | 23 | 2 | `h3` |
| light | `#544019` | 14.4/500 | opaque | 9.16 | 4.5 | 4 | 1 | `b` |
| light | `#544019` | 15.2/300 | opaque | 9.16 | 4.5 | 2 | 1 | `div.mu-panel-hook` |
| light | `#2b2620` | 12.5/400 | #bg-canvas | 9.19 | 4.5 | 177 | 17 | `a.chip` |
| light | `#2b2620` | 32.0/800 | #bg-canvas | 9.21 | 3.0 | 17 | 17 | `h1.display` |
| light | `#433c31` | 9.9/300 | opaque | 9.25 | 4.5 | 11 | 5 | `a.chip-label` |
| light | `#433c31` | 12.5/400 | opaque | 9.25 | 4.5 | 5 | 2 | `button.f-btn` |
| light | `#433c31` | 12.2/300 | opaque | 9.25 | 4.5 | 5 | 4 | `p.footer-note` |
| light | `#433c31` | 15.2/300 | opaque | 9.25 | 4.5 | 12 | 1 | `a.cr-what` |
| light | `#433c31` | 11.2/300 | opaque | 9.25 | 4.5 | 4 | 3 | `span.tl-year.end` |
| light | `#2b2620` | 13.4/400 | #bg-canvas | 9.26 | 4.5 | 32 | 4 | `button.aw-btn` |
| dark | `#e8c98a` | 13.8/700 | #bg-canvas | 9.28 | 4.5 | 23 | 9 | `a.active` |
| dark | `#d8d2c4` | 12.5/500 | #bg-canvas | 9.28 | 4.5 | 253 | 33 | `a` |
| light | `#2b2620` | 13.0/300 | #bg-canvas | 9.30 | 4.5 | 25 | 1 | `code` |
